image_name,blur_score,brightness,contrast,edge_count,noise_level,entropy,saturation,sharpness,dark_ratio,white_ratio,contour_count,width,height,aspect_ratio,mean_red,mean_green,mean_blue
a.y.-jackson_algoma-in-november-1935.jpg,7433.585588389775,137.11050415039062,24.350312934429024,14505,116.20861663766827,6.5021224,47.36677551269531,7433.585588389775,0.0,0.0,911,256,256,1.0,144.83006286621094,135.00094604492188,127.71116638183594
a.y.-jackson_first-snow-algoma-country-1920.jpg,12492.219826217508,169.79869079589844,28.904064826524756,21140,112.29834505862695,6.801705,47.77386474609375,12492.219826217508,0.0,0.001251220703125,1286,256,256,1.0,182.20526123046875,165.18972778320312,160.9766387939453
a.y.-jackson_frozen-lake-early-spring-algonquin-park-1914.jpg,5927.211369469529,142.86032104492188,21.68055508499297,11541,117.32206980974229,6.3128843,41.07167053222656,5927.211369469529,1.52587890625e-05,0.0,758,256,256,1.0,148.75558471679688,141.70338439941406,133.3701629638672
a.y.-jackson_grey-day-laurentians-1928.jpg,12555.249751291936,157.03073120117188,31.126184919204675,18790,112.91625761589104,6.885242,60.44390869140625,12555.249751291936,0.0,0.0,1118,256,256,1.0,165.50634765625,156.56430053710938,137.19297790527344
a.y.-jackson_hills-at-great-bear-lake-1953.jpg,6947.3720412692055,111.18635559082031,20.924225852498992,14985,116.17022115848377,6.3698545,60.74107360839844,6947.3720412692055,0.0,0.0,984,256,256,1.0,118.83804321289062,109.66581726074219,98.93206787109375
a.y.-jackson_indian-home-1927.jpg,21538.409810051322,142.4534912109375,35.34632001900148,23550,107.64075741775723,7.1475725,68.90452575683594,21538.409810051322,4.57763671875e-05,0.0,1470,256,256,1.0,147.8863983154297,142.4983673095703,127.97149658203125
a.y.-jackson_nellie-lake-1933.jpg,3650.598258442944,104.9232177734375,19.36730080764143,9812,119.28669004915075,6.0536504,41.60185241699219,3650.598258442944,3.0517578125e-05,0.0,565,256,256,1.0,108.24789428710938,104.24009704589844,99.70469665527344
a.y.-jackson_night-pine-island-1921.jpg,10523.044956769794,155.9619140625,27.761896264091213,17702,114.0730716942581,6.710927,49.83992004394531,10523.044956769794,4.57763671875e-05,0.0,1132,256,256,1.0,152.6251678466797,156.925048828125,159.75314331054688
a.y.-jackson_north-shore-lake-superior-1926.jpg,6345.44108742103,138.8239288330078,23.814564954015786,11527,117.14208155283596,6.3959236,63.014892578125,6345.44108742103,0.0,0.0,730,256,256,1.0,153.1418914794922,135.19776916503906,119.95198059082031
a.y.-jackson_october-morning-algoma-wartz-lake-1920.jpg,6975.387820815435,92.85894775390625,21.253294247557175,13913,116.27150173057045,6.390974,60.383331298828125,6975.387820815435,0.0016937255859375,0.0,1053,256,256,1.0,97.41026306152344,91.98599243164062,85.41583251953125
